satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary
0.77,0.89,4,270,5,0,1,0,sales,medium
0.42,0.96,6,173,3,0,0,0,sales,medium
0.82,0.85,4,274,5,0,1,0,sales,low
0.55,0.99,4,248,3,0,0,0,IT,low
0.43,0.52,2,139,3,0,1,0,product_mng,low
0.56,0.62,5,238,3,0,0,0,sales,low
0.59,0.88,4,155,3,1,0,0,support,low
0.59,0.71,2,176,2,1,0,0,sales,medium
0.44,0.5,2,132,3,0,1,0,technical,low
0.76,0.98,5,242,5,0,1,0,management,low
0.92,0.68,4,178,3,0,0,0,product_mng,low
0.86,0.91,4,253,3,0,0,0,IT,low
0.1,0.94,6,287,4,0,1,0,technical,medium
0.8,0.84,4,242,2,1,0,0,marketing,low
0.95,0.81,4,258,7,0,0,1,sales,medium
0.43,0.5,2,148,3,0,1,0,support,low
0.89,0.86,4,153,3,0,0,0,accounting,low
0.39,0.56,2,130,3,0,1,0,sales,medium
0.73,0.92,4,273,5,0,1,0,sales,low
0.38,0.51,2,146,3,0,1,0,IT,medium
0.98,0.74,4,151,3,0,0,0,sales,medium
0.43,0.5,2,152,3,0,1,0,management,medium
0.44,0.51,2,140,3,0,1,0,hr,medium
0.45,0.5,2,157,3,0,1,0,management,medium
0.64,0.53,4,163,3,0,0,0,support,medium
0.15,0.8,5,151,2,1,0,0,sales,low
0.48,0.7,3,213,10,0,0,0,sales,medium
0.63,0.5,2,230,4,0,0,0,sales,medium
0.56,0.64,3,260,3,0,0,0,RandD,medium
0.55,0.63,5,184,4,0,0,0,marketing,medium
0.1,0.91,7,297,4,0,1,0,technical,low
0.49,0.6,3,214,2,0,0,0,sales,low
0.09,0.94,7,267,4,0,1,0,sales,medium
0.3,0.56,3,309,4,1,1,0,technical,low
0.57,0.78,3,109,3,1,0,0,sales,low
0.78,0.63,5,259,3,0,0,0,sales,low
0.44,0.57,2,148,3,0,1,0,technical,low
0.71,0.54,4,215,3,0,0,0,technical,medium
0.1,0.81,6,268,4,0,1,0,marketing,low
0.38,0.49,2,144,3,0,1,0,hr,low
0.78,0.97,4,142,3,0,0,0,sales,low
0.81,0.69,5,134,2,0,0,0,sales,medium
0.8,0.6,5,217,3,0,0,0,management,high
0.69,0.88,3,164,10,0,0,0,management,medium
0.78,0.65,4,207,2,0,0,0,support,medium
0.8,0.53,3,255,5,0,1,0,technical,high
0.46,0.46,2,154,3,0,1,0,accounting,medium
0.73,0.61,4,260,2,1,0,0,sales,low
0.69,0.73,3,231,2,1,0,0,management,high
0.76,0.84,5,227,5,1,1,0,sales,medium
0.42,0.56,2,147,3,0,1,0,sales,medium
0.79,0.58,3,294,4,0,1,0,hr,low
0.51,0.62,4,185,3,0,0,0,management,low
0.74,0.89,4,267,5,0,1,0,sales,medium
0.37,0.51,2,155,3,0,1,0,sales,low
0.67,0.54,2,136,2,0,0,0,RandD,medium
0.97,0.38,5,211,7,1,0,0,sales,medium
0.38,0.54,2,135,3,0,1,0,technical,medium
0.59,0.81,4,189,3,0,0,0,sales,medium
0.9,0.83,4,266,5,0,1,0,sales,high
0.98,0.58,4,133,3,0,0,0,sales,low
0.1,0.86,6,306,4,0,1,0,sales,high
0.96,0.69,3,214,2,1,0,0,IT,low
0.35,0.8,6,281,2,0,1,0,sales,medium
0.36,0.54,2,153,3,0,1,0,accounting,medium
0.76,0.99,4,253,5,1,1,0,IT,medium
0.61,0.55,5,260,3,0,0,0,technical,medium
0.56,0.97,5,163,2,0,0,0,management,high
0.87,0.88,5,269,5,0,1,0,technical,low
0.59,1,2,160,5,0,1,0,product_mng,low
0.44,0.41,3,125,7,0,0,0,sales,medium
0.58,0.84,4,206,7,0,0,1,management,high
0.83,0.48,4,220,3,1,0,0,support,low
0.6,0.57,2,184,3,0,0,0,sales,medium
0.12,0.55,5,242,4,0,0,0,marketing,medium
0.49,0.62,4,161,2,0,0,0,IT,medium
0.38,1,5,137,4,0,1,0,support,low
0.64,0.52,5,258,10,1,0,0,management,high
0.89,0.87,5,275,6,0,1,0,marketing,low
0.1,0.87,6,290,4,0,1,0,support,low
0.63,0.57,4,192,3,0,0,0,technical,high
0.45,0.56,2,154,3,0,1,0,marketing,low
0.6,0.64,5,221,2,0,0,0,technical,low
0.36,0.5,2,131,3,0,1,0,IT,medium
0.4,0.49,2,143,3,0,1,0,product_mng,medium
0.4,0.53,2,127,3,0,1,0,support,low
0.84,0.94,5,262,5,0,1,0,technical,low
0.84,0.8,4,236,3,0,0,0,marketing,low
0.1,0.93,6,269,4,0,1,0,IT,low
0.5,0.55,3,176,3,0,0,0,sales,low
0.81,0.8,5,132,2,1,0,0,management,high
0.45,0.45,2,154,3,1,1,0,support,medium
0.5,0.53,3,142,3,1,0,0,product_mng,medium
0.9,0.84,5,221,5,0,1,0,marketing,low
0.85,0.87,5,245,5,0,1,0,technical,low
0.93,0.53,3,200,3,1,0,0,product_mng,low
0.36,0.56,2,138,3,0,1,0,accounting,medium
0.11,0.8,6,306,4,0,1,0,sales,low
0.6,0.97,4,219,4,1,0,0,hr,low
0.11,0.9,7,247,4,0,1,0,sales,medium
0.31,0.56,4,238,2,0,1,0,accounting,medium
0.46,0.55,2,147,3,0,1,0,product_mng,medium
0.09,0.84,6,258,4,0,1,0,IT,low
0.57,0.9,3,256,4,0,0,0,RandD,low
0.5,0.77,3,267,2,0,0,0,management,high
0.37,0.49,2,151,3,0,1,0,sales,low
0.9,1,5,232,5,0,1,0,technical,medium
0.44,0.51,2,134,3,0,1,0,hr,medium
0.38,0.52,2,154,3,0,1,0,sales,medium
0.45,0.47,2,151,3,0,1,0,accounting,medium
0.79,0.59,4,139,3,0,1,1,management,low
0.11,0.94,6,286,4,0,1,0,IT,medium
0.86,0.93,5,223,5,0,1,0,RandD,medium
0.45,0.54,2,154,3,0,1,0,marketing,low
0.72,0.98,5,197,4,0,0,0,technical,low
0.87,0.91,4,228,5,0,1,0,sales,low
0.74,0.9,4,226,5,0,1,0,sales,medium
0.72,0.88,5,249,5,0,1,0,support,medium
0.84,1,5,234,5,0,1,0,technical,medium
0.5,0.95,5,137,3,0,0,0,sales,medium
0.64,0.77,3,213,3,1,0,0,RandD,medium
0.59,0.69,3,200,3,0,0,0,sales,low
0.17,0.93,3,218,4,0,0,0,technical,low
0.18,0.49,3,240,2,1,0,0,marketing,low
0.11,0.95,7,300,4,0,1,0,management,medium
0.82,0.67,3,198,3,1,0,0,product_mng,low
0.77,0.61,4,223,3,0,0,0,marketing,medium
0.39,0.48,2,151,3,0,1,0,sales,low
0.36,0.5,2,132,3,0,1,0,management,low
0.38,0.5,2,132,3,0,1,0,accounting,low
0.86,0.71,5,273,3,0,0,0,support,medium
0.76,0.9,5,142,3,0,0,0,marketing,low
0.4,0.47,2,144,3,1,1,0,sales,low
0.54,0.59,3,200,3,0,0,0,technical,low
0.73,0.44,2,194,6,0,0,0,hr,medium
0.58,0.86,5,271,3,0,0,0,IT,low
0.74,1,5,223,5,0,1,0,accounting,low
0.66,0.85,3,178,8,1,0,0,marketing,medium
0.41,0.96,6,171,5,1,0,0,support,medium
0.11,0.88,5,250,4,0,1,0,RandD,medium
0.1,0.97,7,282,4,0,1,0,technical,low
0.56,0.66,3,212,2,0,0,0,technical,medium
0.76,0.83,3,186,2,1,0,0,RandD,medium
0.1,0.87,7,299,4,0,1,0,sales,low
0.09,0.95,6,271,4,0,1,0,sales,low
0.6,0.62,5,274,3,0,0,0,management,medium
0.53,0.75,4,239,2,1,0,0,technical,medium
0.75,0.88,4,239,5,0,1,0,sales,low
0.82,0.87,5,145,6,0,0,0,hr,medium
0.84,0.74,3,139,3,0,0,0,sales,medium
0.95,0.64,5,234,3,0,0,0,RandD,medium
0.41,0.57,2,160,3,0,1,0,support,low
0.11,0.82,7,285,4,0,1,0,IT,medium
0.38,0.56,2,154,3,0,1,0,sales,low
0.89,0.81,4,228,4,0,0,0,IT,high
0.82,0.51,3,234,3,0,0,0,sales,low
0.37,0.69,2,146,3,0,0,0,support,medium
0.51,0.63,3,183,2,0,0,0,sales,medium
0.43,0.51,2,136,3,0,1,0,hr,medium
0.1,0.96,6,274,4,0,1,0,technical,low
0.68,0.69,3,185,2,0,0,0,accounting,low
0.56,0.66,3,232,2,0,0,0,sales,low
0.63,0.64,3,174,2,0,0,0,accounting,medium
0.57,0.87,4,171,2,0,0,0,support,medium
0.76,0.84,4,236,4,0,0,0,support,medium
0.09,0.82,6,257,4,0,1,0,accounting,medium
0.43,0.53,2,146,3,0,1,0,sales,medium
0.9,0.92,5,245,5,0,1,0,sales,low
0.58,0.91,3,154,10,0,0,0,product_mng,high
0.44,0.56,2,141,3,0,1,0,sales,low
0.83,0.83,4,224,4,0,0,0,support,medium
0.67,0.57,2,160,4,0,0,0,support,low
0.76,0.56,5,222,10,0,0,0,management,high
0.84,0.91,5,232,6,0,1,0,management,low
0.95,0.86,3,207,2,0,0,0,technical,low
0.64,0.66,3,218,3,0,0,0,technical,low
0.42,0.48,2,155,3,0,1,0,hr,medium
0.56,0.57,3,143,2,0,0,0,sales,medium
0.35,0.58,3,229,6,1,0,0,technical,medium
0.9,0.76,2,211,4,0,0,0,technical,low
0.84,0.87,4,246,6,0,1,0,hr,low
0.75,0.97,4,245,5,0,1,0,support,medium
0.42,0.53,3,199,4,0,1,0,technical,medium
0.78,0.68,2,159,3,1,0,0,support,medium
0.8,0.9,4,241,2,0,0,0,,low
0.72,0.94,4,240,4,0,0,0,,low
0.51,0.6,7,243,5,0,1,0,technical,medium
0.1,0.89,7,272,4,0,1,0,sales,medium
0.38,0.77,2,170,3,0,0,0,,high
0.67,0.5,4,157,2,0,0,0,,medium
0.73,1,4,252,5,0,1,0,technical,medium
0.09,0.82,7,267,4,0,1,0,technical,low
0.97,0.6,3,162,3,0,0,0,,medium
0.75,0.58,4,270,3,0,0,0,,low
0.45,0.49,2,134,3,0,1,0,RandD,medium
0.09,0.9,7,289,5,0,1,0,technical,low
0.1,0.86,6,288,4,0,1,0,sales,medium
0.19,0.59,7,192,3,0,1,0,sales,low
0.78,0.96,2,285,3,0,0,0,,high
0.24,0.88,5,199,5,1,0,0,,medium
0.4,0.47,2,146,3,0,1,0,sales,medium
0.4,0.56,2,137,3,0,1,0,accounting,medium
0.76,0.85,3,192,3,0,0,0,,low
0.1,0.8,6,292,4,0,1,0,sales,medium
0.44,0.46,2,138,3,0,1,0,technical,low
0.39,0.48,2,138,3,0,1,0,sales,low
0.78,0.96,5,272,5,0,1,0,sales,low
0.4,0.47,2,152,3,0,1,0,accounting,low
0.72,0.71,4,256,3,0,0,1,,medium
0.65,0.52,2,117,10,1,0,0,,low
0.58,0.83,4,163,3,1,0,0,,low
0.74,0.63,3,180,3,0,0,0,,high
0.11,0.85,6,267,4,0,1,0,sales,medium
0.53,0.76,5,132,6,0,1,0,IT,low
0.4,0.38,3,280,2,0,0,0,,low
0.43,0.56,2,158,3,0,1,0,IT,low
0.57,0.96,4,257,3,0,0,0,,medium
0.11,0.96,6,267,4,0,1,0,sales,medium
0.14,0.9,4,198,4,0,0,0,,medium
0.46,0.48,2,161,3,0,1,0,technical,low
0.77,0.83,5,216,4,0,0,0,,medium
0.84,0.41,6,255,6,1,0,0,,medium
0.68,0.97,3,250,3,1,0,0,,medium
0.71,0.48,5,114,3,0,0,0,,low
0.62,0.66,4,143,3,0,0,0,,medium
0.87,0.75,3,132,3,0,0,0,,medium
0.82,0.82,3,148,3,0,0,0,,low
0.14,0.61,6,291,5,0,1,0,hr,medium
0.84,0.63,3,121,3,1,0,0,,low
0.76,0.78,3,189,2,0,0,0,,low
0.39,0.45,2,134,3,0,1,0,technical,medium
0.48,0.57,5,227,3,0,0,0,,medium
0.62,0.77,5,227,4,0,1,0,marketing,low
0.09,0.8,6,304,5,0,1,0,technical,medium
0.28,0.89,4,97,6,0,0,0,,low
0.25,0.41,3,133,6,1,0,0,,low
0.11,0.87,5,303,4,0,1,0,IT,low
0.86,0.85,5,267,5,0,1,0,sales,medium
0.8,0.83,5,275,5,0,1,0,support,low
0.51,0.39,5,132,6,1,0,1,,low
0.38,0.49,2,151,3,0,1,0,technical,low
0.76,0.45,4,147,2,0,0,0,,medium
0.72,0.6,3,153,5,0,1,0,technical,low
0.9,0.82,4,136,3,0,0,0,,low
0.98,0.91,4,240,3,0,0,0,,low
0.42,0.49,2,153,3,0,1,0,product_mng,medium
0.36,0.46,2,157,3,0,1,0,technical,medium
0.43,0.52,2,150,3,0,1,0,product_mng,low
0.45,0.46,2,155,3,0,1,0,sales,low
0.09,0.85,5,281,4,0,1,0,support,medium
0.21,0.7,3,238,8,0,0,0,,medium
0.5,0.48,4,130,10,0,0,0,,high
0.41,0.48,2,148,3,0,1,0,sales,low
0.72,0.75,4,211,4,0,0,0,,medium
0.83,0.73,4,157,2,0,0,0,,medium
0.75,0.78,2,251,6,0,0,0,,medium
0.75,0.56,5,175,4,0,0,0,,low
0.11,0.77,6,274,4,0,1,0,support,medium
0.58,0.66,3,250,5,0,0,0,,low
0.1,0.85,6,266,4,0,1,0,sales,low
0.73,0.97,6,189,2,0,1,0,sales,low
0.49,0.36,2,192,3,0,0,0,,low
0.47,0.79,3,284,10,0,0,0,,low
0.74,0.92,5,193,3,0,0,0,,low
0.9,0.73,4,245,2,0,0,0,,low
0.91,0.82,3,183,3,0,0,0,,medium
0.37,0.45,2,151,3,0,1,0,support,low
0.44,0.57,2,139,3,0,1,0,technical,low
0.25,0.72,5,279,8,0,0,0,,low
0.41,0.71,4,301,5,0,1,0,technical,low
0.58,0.8,5,187,3,1,0,0,,low
0.92,1,4,261,4,0,0,0,,medium
0.46,0.54,2,138,3,0,1,0,product_mng,medium
0.41,0.55,2,161,3,0,1,0,IT,low
0.87,0.94,4,274,5,0,1,0,IT,low
0.83,0.83,5,260,5,0,1,0,IT,medium
0.1,0.89,6,244,4,1,1,0,support,low
0.77,0.49,4,266,2,0,0,0,hr,low
0.93,0.53,5,198,3,0,0,0,sales,low
0.55,0.64,3,178,2,0,0,1,sales,low
0.72,0.63,3,176,3,1,0,0,technical,low
0.44,0.55,2,128,3,0,1,1,IT,medium
0.77,0.49,2,286,7,0,0,0,marketing,low
0.36,0.46,2,130,3,0,1,0,accounting,low
0.63,0.76,2,157,4,0,1,0,RandD,low
0.59,0.79,4,209,2,0,0,0,technical,medium
0.72,0.59,5,200,8,1,0,0,sales,low
0.57,0.78,3,134,3,0,0,0,RandD,medium
0.67,0.82,4,171,2,0,0,0,sales,medium
0.09,0.88,6,269,4,0,1,0,technical,medium
0.95,0.9,4,221,10,1,0,0,management,high
0.94,0.77,5,210,3,0,0,0,product_mng,high
0.89,0.77,5,232,3,0,0,0,sales,low
0.67,0.52,4,207,3,0,0,0,IT,medium
0.21,0.43,5,175,2,1,0,0,sales,high
0.32,0.95,5,172,2,0,1,0,sales,low
0.72,0.79,3,149,3,0,0,0,sales,medium
0.44,0.55,2,156,3,0,1,0,hr,medium
0.9,0.77,3,156,3,0,0,0,sales,medium
0.21,0.76,5,239,2,0,0,0,RandD,low
0.5,0.77,3,265,3,0,0,0,IT,medium
0.2,0.68,5,167,7,0,0,0,marketing,medium
0.1,0.77,6,255,4,0,1,0,management,low
0.39,0.5,2,127,3,0,1,0,technical,low
0.37,0.49,2,138,3,0,1,0,technical,low
0.38,0.52,2,145,3,0,1,0,sales,low
0.55,0.64,4,201,10,1,0,0,management,medium
0.95,0.61,3,267,2,0,0,0,RandD,low
0.41,0.51,2,127,3,0,1,0,support,medium
0.32,0.81,2,249,3,0,0,0,accounting,low
0.1,0.77,7,308,4,0,1,0,accounting,low
0.82,0.71,2,209,5,0,0,1,marketing,medium
0.58,0.9,3,212,3,0,0,0,hr,medium
0.76,0.62,5,230,3,1,0,0,marketing,low
0.52,0.88,3,179,2,1,0,0,support,low
0.61,0.99,4,251,2,0,0,0,IT,low
0.8,0.67,3,178,3,0,0,0,IT,low
0.43,0.56,2,157,3,0,1,0,sales,low
0.65,0.96,5,173,2,0,0,0,hr,low
0.49,0.63,6,265,3,0,1,0,technical,low
0.88,0.63,3,273,3,1,0,0,RandD,low
0.36,0.52,2,146,3,0,1,0,sales,medium
0.36,0.51,2,130,3,0,1,0,sales,low
0.66,0.93,5,185,3,0,0,0,IT,medium
0.41,0.52,2,135,3,0,1,0,sales,low
0.22,0.62,3,180,3,0,0,0,support,low
0.88,0.89,4,275,5,0,1,0,technical,low
0.39,0.46,2,136,3,0,1,0,support,medium
0.69,0.48,5,232,4,0,0,0,sales,medium
0.42,0.55,2,150,3,0,1,0,technical,low
0.66,0.57,4,161,7,0,0,1,management,medium
0.53,0.68,4,173,3,0,0,0,sales,medium
0.2,0.78,4,196,3,0,0,0,management,low
0.11,0.79,7,310,4,0,1,0,hr,low
0.86,0.69,5,157,3,0,0,0,IT,low
0.39,0.56,2,142,3,0,1,0,accounting,low
0.86,0.98,4,270,5,0,1,0,technical,low
0.63,0.78,3,153,3,1,0,0,sales,medium
0.79,0.6,5,235,2,0,0,0,IT,medium
0.79,0.98,4,271,5,0,1,0,sales,low
0.1,0.77,5,276,4,0,1,0,support,low
0.49,0.78,4,254,10,0,0,0,management,high
0.49,0.88,4,240,8,0,0,0,product_mng,medium
0.85,0.78,4,106,2,0,0,0,technical,low
0.52,0.95,5,234,3,0,0,0,marketing,low
0.65,0.94,4,184,7,0,0,0,sales,medium
0.79,0.84,3,176,3,0,0,0,support,low
0.1,0.87,7,289,4,0,1,0,sales,low
0.51,0.63,4,198,2,0,0,0,management,medium
0.09,0.96,7,274,5,0,1,0,marketing,low
0.77,0.96,5,249,6,0,1,0,technical,low
0.81,0.81,4,218,5,1,1,0,IT,low
0.41,0.55,2,148,3,0,1,0,sales,low
0.46,0.57,2,152,3,0,1,0,support,low
0.37,0.46,2,140,3,0,1,0,support,low
0.42,0.48,2,146,3,0,1,0,hr,high
0.73,0.88,4,148,2,0,0,0,support,low
0.23,0.52,5,236,4,0,0,0,RandD,low
0.89,0.83,5,130,4,1,1,0,support,medium
0.11,0.89,6,264,4,0,1,0,support,low
0.4,0.47,2,144,3,0,1,0,hr,medium
0.57,0.82,5,218,3,0,0,0,support,medium
0.1,0.95,5,286,4,0,1,0,RandD,high
0.81,0.63,4,108,6,0,0,0,technical,medium
0.97,0.88,3,204,2,0,0,0,management,low
0.77,0.81,4,164,3,0,0,0,technical,high
0.67,0.65,5,156,2,0,0,0,support,medium
0.88,0.51,3,211,7,0,0,0,sales,medium
0.41,0.54,2,152,3,0,1,0,technical,low
0.45,0.46,2,149,3,0,1,0,sales,low
0.74,0.76,5,104,4,0,0,0,support,low
0.69,0.82,4,208,2,0,0,0,support,medium
0.98,0.91,3,188,4,0,0,0,accounting,medium
0.15,0.93,4,185,5,0,0,0,hr,low
0.35,0.5,5,227,2,0,0,0,support,low
0.11,0.91,6,302,4,0,1,0,RandD,low
0.77,0.73,3,201,10,0,0,0,management,high
0.68,0.51,4,157,3,0,0,0,sales,low
0.85,0.9,2,168,2,0,1,0,sales,medium
0.4,0.47,2,128,3,0,1,0,sales,medium
0.84,0.49,4,178,3,0,0,0,support,medium
0.73,0.83,5,270,5,1,1,0,support,medium
0.1,0.94,7,287,4,0,1,0,support,medium
0.37,0.48,2,153,3,0,1,0,technical,low
0.93,0.94,4,156,3,1,0,0,marketing,low
0.38,0.46,2,160,3,0,1,0,support,low
0.49,0.95,4,156,2,0,0,0,technical,medium
0.73,0.86,5,249,5,0,1,0,technical,low
0.38,0.51,2,159,3,0,1,0,technical,low
0.91,0.7,3,132,4,0,0,0,sales,medium
0.37,0.54,2,152,3,0,1,0,marketing,medium
0.83,1,5,240,5,0,1,0,support,low
0.22,0.6,3,205,6,1,0,0,sales,low
1,0.89,3,194,3,0,0,0,sales,medium
0.49,0.98,3,267,3,1,0,0,sales,medium
0.62,0.49,4,218,4,0,0,0,sales,medium
0.12,0.47,3,258,5,0,0,0,sales,medium
0.78,0.8,3,256,2,0,0,0,IT,medium
0.81,1,4,241,5,0,1,0,hr,low
0.37,0.46,2,156,3,0,1,0,sales,low
0.51,0.63,5,260,2,0,0,0,product_mng,high
0.69,0.95,3,126,6,0,0,0,technical,low
0.85,0.78,4,251,3,0,0,0,sales,medium
0.11,0.84,6,251,4,0,1,0,technical,low
0.78,0.95,4,260,5,0,1,0,sales,low
0.21,0.7,6,130,6,1,0,0,RandD,low
0.59,0.73,4,247,10,0,0,0,management,high
0.5,0.59,4,192,2,0,0,0,sales,medium
0.88,0.81,4,179,3,0,0,0,management,high
0.93,0.52,4,200,3,0,0,0,technical,low
0.76,0.9,4,263,5,0,1,0,support,low
0.84,1,5,250,5,0,1,0,sales,low
1,0.81,5,178,2,0,0,0,technical,low
0.37,0.51,2,132,3,0,1,0,technical,medium
0.66,0.49,5,235,8,1,0,0,sales,low
0.43,0.48,2,144,3,0,1,0,sales,low
0.7,0.77,4,245,2,0,0,0,sales,low
0.71,0.37,2,179,5,0,0,1,support,low
0.18,0.8,2,110,5,0,0,0,support,low
0.75,0.87,4,146,8,1,0,0,support,low
0.13,0.9,5,264,6,0,0,0,technical,high
0.1,0.84,6,293,5,0,1,0,marketing,medium
0.17,0.75,3,188,4,0,1,0,technical,low
0.48,0.81,4,149,2,0,0,0,management,medium
0.83,0.81,5,219,5,0,1,0,sales,low
0.82,0.92,4,252,5,0,1,0,marketing,medium
0.44,0.48,2,128,3,0,1,0,support,low
0.41,0.48,2,136,3,0,1,0,technical,medium
0.36,0.53,2,133,3,0,1,0,sales,medium
0.38,0.45,2,129,3,0,1,0,support,medium
0.71,0.63,3,254,3,1,0,0,sales,high
0.36,0.51,2,135,3,0,1,0,IT,low
0.4,0.5,2,130,3,0,1,0,sales,low
0.43,0.5,2,127,3,1,1,0,sales,medium
0.39,0.47,2,131,3,0,1,0,technical,low
0.11,0.94,7,255,4,0,1,0,support,low
0.79,0.92,5,254,6,0,1,0,sales,low
0.9,1,4,229,5,0,1,0,sales,low
0.11,0.77,6,291,4,0,1,0,marketing,low
0.45,0.46,2,128,3,0,1,0,sales,low
0.1,0.83,5,271,5,0,1,0,support,low
0.66,0.95,5,192,7,0,0,0,sales,medium
0.8,0.93,3,225,4,0,0,0,product_mng,low
0.64,0.94,4,210,3,0,0,0,product_mng,low
0.87,0.9,3,174,2,0,0,0,IT,low
0.59,0.81,6,123,5,0,0,0,sales,medium
0.4,0.46,2,134,3,0,1,0,accounting,low
0.84,0.94,5,222,6,0,1,0,product_mng,low
0.3,0.86,3,276,5,1,0,0,accounting,low
0.8,0.86,5,262,6,0,1,0,sales,medium
1,0.59,4,174,3,0,0,0,,low
0.48,0.82,3,183,2,0,0,0,,low
0.45,0.57,2,138,3,0,1,0,hr,medium
0.72,0.66,4,184,3,0,0,0,,high
0.48,0.39,4,272,3,0,0,0,,low
0.1,0.84,7,250,4,0,1,0,product_mng,low
0.68,0.85,2,180,6,0,0,0,,medium
0.87,0.92,4,253,6,0,1,0,marketing,low
0.27,0.54,7,278,3,0,1,0,technical,low
0.52,0.72,4,222,3,0,0,0,,low
0.44,0.65,3,175,2,0,0,0,,low
0.38,0.45,2,151,3,0,1,0,technical,low
0.96,0.82,4,244,3,0,0,0,,high
0.54,0.49,4,152,3,1,0,0,,medium
0.39,0.5,2,136,3,0,1,0,management,low
0.53,1,3,164,4,0,0,0,,medium
0.41,0.53,2,157,3,0,1,0,accounting,low
0.43,0.55,2,136,3,0,1,0,sales,low
0.37,0.51,2,127,3,0,1,0,sales,medium
